iShares Russell 2000 ETF
Fund Holdings as of,"Oct 21, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"279,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UMBF","UMB FINANCIAL CORP","Financials","Equity","196,312,272.75","0.28","196,312,272.75","1,754,825.00","111.87","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","195,645,236.64","0.28","195,645,236.64","673,988.00","290.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","193,608,823.54","0.28","193,608,823.54","2,867,854.00","67.51","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","192,289,050.03","0.28","192,289,050.03","3,941,157.00","48.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","192,046,600.00","0.28","192,046,600.00","446,620.00","430.00","United States","NASDAQ","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","188,064,988.37","0.27","188,064,988.37","1,075,333.00","174.89","United States","NASDAQ","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","186,137,451.36","0.27","186,137,451.36","660,976.00","281.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","184,648,220.61","0.27","184,648,220.61","14,414,381.00","12.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MARA","MARA HOLDINGS INC","Information Technology","Equity","179,330,005.89","0.26","179,330,005.89","8,935,227.00","20.07","United States","NASDAQ","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","178,732,627.41","0.26","178,732,627.41","1,302,621.00","137.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","178,424,192.80","0.26","178,424,192.80","11,082,248.00","16.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","178,021,668.52","0.26","178,021,668.52","905,594.00","196.58","United States","NASDAQ","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","177,797,961.36","0.26","177,797,961.36","1,444,103.00","123.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","176,287,662.60","0.25","176,287,662.60","5,139,582.00","34.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","174,336,763.48","0.25","174,336,763.48","8,430,211.00","20.68","United States","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","173,324,605.74","0.25","173,324,605.74","8,385,322.00","20.67","United States","NASDAQ","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","170,183,985.57","0.24","170,183,985.57","3,615,551.00","47.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","169,447,318.95","0.24","169,447,318.95","2,730,819.00","62.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","167,546,409.98","0.24","167,546,409.98","5,148,937.00","32.54","United States","NASDAQ","USD","1.00","USD","-"
"JBTM","JBT MAREL CORP","Industrials","Equity","167,238,423.03","0.24","167,238,423.03","1,255,261.00","133.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","164,270,787.33","0.24","164,270,787.33","22,910,849.00","7.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","163,989,464.94","0.24","163,989,464.94","1,674,558.00","97.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","162,998,140.40","0.23","162,998,140.40","1,256,732.00","129.70","United States","NASDAQ","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","162,228,707.61","0.23","162,228,707.61","3,854,329.00","42.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","161,951,562.00","0.23","161,951,562.00","2,802,900.00","57.78","United States","NASDAQ","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS INC","Information Technology","Equity","161,773,476.12","0.23","161,773,476.12","2,652,894.00","60.98","United States","NASDAQ","USD","1.00","USD","-"
"SOUN","SOUNDHOUND AI INC CLASS A","Information Technology","Equity","160,442,065.93","0.23","160,442,065.93","8,800,991.00","18.23","United States","NASDAQ","USD","1.00","USD","-"
"LRN","STRIDE INC","Consumer Discretionary","Equity","156,381,521.01","0.22","156,381,521.01","1,026,597.00","152.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","154,879,294.22","0.22","154,879,294.22","1,468,607.00","105.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","151,642,656.36","0.22","151,642,656.36","2,463,331.00","61.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","151,419,895.12","0.22","151,419,895.12","4,787,224.00","31.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACHR","ARCHER AVIATION INC CLASS A","Industrials","Equity","150,900,091.09","0.22","150,900,091.09","13,225,249.00","11.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","150,127,557.78","0.22","150,127,557.78","563,098.00","266.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","148,497,363.84","0.21","148,497,363.84","512,484.00","289.76","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","147,071,501.00","0.21","147,071,501.00","2,349,385.00","62.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","146,259,947.02","0.21","146,259,947.02","953,579.00","153.38","United States","NASDAQ","USD","1.00","USD","-"
"ITRI","ITRON INC","Information Technology","Equity","145,972,759.20","0.21","145,972,759.20","1,092,120.00","133.66","United States","NASDAQ","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","143,664,475.52","0.21","143,664,475.52","1,986,511.00","72.32","United States","NASDAQ","USD","1.00","USD","-"
"LEU","CENTRUS ENERGY CORP CLASS A","Energy","Equity","142,420,051.62","0.20","142,420,051.62","377,762.00","377.01","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","142,181,877.92","0.20","142,181,877.92","1,065,352.00","133.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","141,886,984.68","0.20","141,886,984.68","2,094,582.00","67.74","United States","NASDAQ","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","141,881,283.24","0.20","141,881,283.24","739,119.00","191.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","141,865,924.90","0.20","141,865,924.90","3,322,387.00","42.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","141,194,972.32","0.20","141,194,972.32","423,958.00","333.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","140,747,685.22","0.20","140,747,685.22","2,341,502.00","60.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","140,461,781.46","0.20","140,461,781.46","861,623.00","163.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CADE","CADENCE BANK","Financials","Equity","140,077,848.54","0.20","140,077,848.54","3,931,458.00","35.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","139,538,680.50","0.20","139,538,680.50","677,175.00","206.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UEC","URANIUM ENERGY CORP","Energy","Equity","138,114,945.64","0.20","138,114,945.64","10,223,164.00","13.51","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrials","Equity","137,811,828.00","0.20","137,811,828.00","1,128,680.00","122.10","United States","NASDAQ","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","137,762,585.02","0.20","137,762,585.02","625,426.00","220.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","137,413,101.91","0.20","137,413,101.91","2,423,939.00","56.69","United States","NASDAQ","USD","1.00","USD","-"
"GPI","GROUP AUTOMOTIVE INC","Consumer Discretionary","Equity","136,736,936.00","0.20","136,736,936.00","303,590.00","450.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRTC","IRHYTHM TECHNOLOGIES INC","Health Care","Equity","136,511,181.56","0.20","136,511,181.56","766,142.00","178.18","United States","NASDAQ","USD","1.00","USD","-"
"MIR","MIRION TECHNOLOGIES INC CLASS A","Information Technology","Equity","136,151,113.28","0.20","136,151,113.28","5,654,116.00","24.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","135,685,279.64","0.20","135,685,279.64","1,454,914.00","93.26","United States","NASDAQ","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","134,715,846.59","0.19","134,715,846.59","2,360,537.00","57.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","134,392,566.05","0.19","134,392,566.05","1,254,247.00","107.15","United States","NASDAQ","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","133,400,689.25","0.19","133,400,689.25","3,084,409.00","43.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","133,143,962.38","0.19","133,143,962.38","1,492,478.00","89.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","132,903,500.80","0.19","132,903,500.80","2,894,240.00","45.92","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDNT","RADNET INC","Health Care","Equity","131,567,409.60","0.19","131,567,409.60","1,641,310.00","80.16","United States","NASDAQ","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","131,463,478.86","0.19","131,463,478.86","1,507,263.00","87.22","United States","NASDAQ","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","131,421,223.71","0.19","131,421,223.71","6,834,177.00","19.23","United States","NASDAQ","USD","1.00","USD","-"
"ATGE","ADTALEM GLOBAL EDUCATION INC","Consumer Discretionary","Equity","130,820,331.04","0.19","130,820,331.04","854,588.00","153.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","127,650,640.60","0.18","127,650,640.60","971,540.00","131.39","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","126,298,824.74","0.18","126,298,824.74","2,545,834.00","49.61","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","126,270,185.05","0.18","126,270,185.05","711,983.00","177.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","125,308,334.52","0.18","125,308,334.52","4,610,314.00","27.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","125,294,954.97","0.18","125,294,954.97","1,865,341.00","67.17","United States","NASDAQ","USD","1.00","USD","-"
"CLSK","CLEANSPARK INC","Information Technology","Equity","125,197,852.08","0.18","125,197,852.08","6,670,104.00","18.77","United States","NASDAQ","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","125,156,145.92","0.18","125,156,145.92","623,536.00","200.72","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","124,468,135.88","0.18","124,468,135.88","1,567,214.00","79.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","123,077,067.20","0.18","123,077,067.20","784,480.00","156.89","United States","NASDAQ","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","123,033,955.85","0.18","123,033,955.85","1,465,126.00","83.97","United States","NASDAQ","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS INC","Health Care","Equity","122,776,356.48","0.18","122,776,356.48","3,485,984.00","35.22","United States","NASDAQ","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","122,610,661.56","0.18","122,610,661.56","5,363,546.00","22.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","122,576,406.45","0.18","122,576,406.45","3,897,501.00","31.45","United States","NASDAQ","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","122,403,999.76","0.18","122,403,999.76","1,409,048.00","86.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","121,473,725.89","0.17","121,473,725.89","1,701,551.00","71.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","121,174,551.90","0.17","121,174,551.90","3,418,182.00","35.45","United States","NASDAQ","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","120,677,832.72","0.17","120,677,832.72","11,761,972.00","10.26","United States","NASDAQ","USD","1.00","USD","-"
"FTDR","FRONTDOOR INC","Consumer Discretionary","Equity","120,434,701.00","0.17","120,434,701.00","1,786,865.00","67.40","United States","NASDAQ","USD","1.00","USD","-"
"RNA","AVIDITY BIOSCIENCES INC","Health Care","Equity","120,029,175.90","0.17","120,029,175.90","2,447,078.00","49.05","United States","NASDAQ","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","119,448,947.10","0.17","119,448,947.10","2,657,965.00","44.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Industrials","Equity","119,423,304.70","0.17","119,423,304.70","1,361,570.00","87.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","118,789,920.90","0.17","118,789,920.90","472,570.00","251.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","118,312,756.30","0.17","118,312,756.30","1,443,895.00","81.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","118,130,750.84","0.17","118,130,750.84","2,081,966.00","56.74","United States","NASDAQ","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","118,050,753.15","0.17","118,050,753.15","1,402,861.00","84.15","United States","NASDAQ","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","118,038,878.04","0.17","118,038,878.04","3,458,508.00","34.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NPO","ENPRO INC","Industrials","Equity","117,762,473.62","0.17","117,762,473.62","507,991.00","231.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","117,048,674.16","0.17","117,048,674.16","1,597,716.00","73.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMR","NUSCALE POWER CORP CLASS A","Industrials","Equity","116,829,014.37","0.17","116,829,014.37","3,044,801.00","38.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","116,316,180.75","0.17","116,316,180.75","2,746,545.00","42.35","United States","NASDAQ","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","116,276,054.19","0.17","116,276,054.19","1,012,593.00","114.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","115,739,831.04","0.17","115,739,831.04","877,881.00","131.84","United States","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER MINING INC","Information Technology","Equity","115,039,765.42","0.17","115,039,765.42","6,364,579.00","18.07","United States","NASDAQ","USD","1.00","USD","-"
"KTB","KONTOOR BRANDS INC","Consumer Discretionary","Equity","114,030,790.60","0.16","114,030,790.60","1,323,170.00","86.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","113,451,905.72","0.16","113,451,905.72","594,674.00","190.78","United States","NASDAQ","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","113,259,719.00","0.16","113,259,719.00","923,815.00","122.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","113,214,682.07","0.16","113,214,682.07","3,376,519.00","33.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","113,191,597.42","0.16","113,191,597.42","1,753,006.00","64.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","Information Technology","Equity","113,192,171.68","0.16","113,192,171.68","5,944,967.00","19.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","112,947,004.17","0.16","112,947,004.17","955,801.00","118.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","112,202,002.99","0.16","112,202,002.99","2,434,411.00","46.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","111,875,314.86","0.16","111,875,314.86","1,110,866.00","100.71","United States","NASDAQ","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","111,616,701.56","0.16","111,616,701.56","3,956,636.00","28.21","United States","NASDAQ","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","111,211,461.13","0.16","111,211,461.13","1,054,237.00","105.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","110,975,558.00","0.16","110,975,558.00","3,263,987.00","34.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","110,492,514.54","0.16","110,492,514.54","1,166,271.00","94.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STNE","STONECO LTD CLASS A","Financials","Equity","110,471,674.32","0.16","110,471,674.32","6,046,616.00","18.27","Brazil","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","110,098,941.65","0.16","110,098,941.65","2,895,055.00","38.03","United States","NASDAQ","USD","1.00","USD","-"
"WK","WORKIVA INC CLASS A","Information Technology","Equity","109,884,511.95","0.16","109,884,511.95","1,206,859.00","91.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSRM","SSR MINING INC","Materials","Equity","108,373,309.86","0.16","108,373,309.86","4,897,122.00","22.13","Canada","NASDAQ","USD","1.00","USD","-"
"CNR","CORE NATURAL RESOURCES INC","Energy","Equity","107,535,029.92","0.15","107,535,029.92","1,252,738.00","85.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","107,364,612.96","0.15","107,364,612.96","6,149,176.00","17.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STEP","STEPSTONE GROUP INC CLASS A","Financials","Equity","106,598,376.71","0.15","106,598,376.71","1,678,979.00","63.49","United States","NASDAQ","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","106,415,545.32","0.15","106,415,545.32","2,268,021.00","46.92","United States","NASDAQ","USD","1.00","USD","-"
"UUUU","ENERGY FUELS INC","Energy","Equity","106,320,356.51","0.15","106,320,356.51","5,153,677.00","20.63","Canada","Nyse Mkt Llc","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","106,217,414.28","0.15","106,217,414.28","3,068,094.00","34.62","United States","NASDAQ","USD","1.00","USD","-"
"UPST","UPSTART HOLDINGS INC","Financials","Equity","105,950,669.44","0.15","105,950,669.44","2,023,504.00","52.36","United States","NASDAQ","USD","1.00","USD","-"
"SKY","CHAMPION HOMES INC","Consumer Discretionary","Equity","105,920,819.44","0.15","105,920,819.44","1,374,524.00","77.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVCO","CAVCO INDUSTRIES INC","Consumer Discretionary","Equity","105,636,297.84","0.15","105,636,297.84","182,863.00","577.68","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","105,116,912.42","0.15","105,116,912.42","3,287,986.00","31.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","104,802,750.00","0.15","104,802,750.00","1,397,370.00","75.00","United States","NASDAQ","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","104,224,154.71","0.15","104,224,154.71","5,755,061.00","18.11","United States","NASDAQ","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","104,105,015.30","0.15","104,105,015.30","3,236,090.00","32.17","United States","NASDAQ","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","103,931,935.20","0.15","103,931,935.20","775,380.00","134.04","United States","NASDAQ","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","103,927,461.40","0.15","103,927,461.40","2,833,355.00","36.68","United States","NASDAQ","USD","1.00","USD","-"
"AX","AXOS FINANCIAL INC","Financials","Equity","103,426,198.92","0.15","103,426,198.92","1,307,372.00","79.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
