Date,Open,High,Low,Close,Volume
2024-03-13,15.449999809265137,16.5,15.449999809265137,16.200000762939453,9585.0
2024-03-14,14.25,16.200000762939453,13.800000190734863,16.049999237060547,25364.0
2024-03-15,14.399999618530272,15.75,13.949999809265137,14.550000190734863,15634.0
2024-03-18,15.0,16.350000381469727,14.699999809265137,16.350000381469727,15860.0
2024-03-19,15.149999618530272,15.449999809265137,14.25,14.25,10276.0
2024-03-20,15.600000381469728,16.5,15.0,15.0,11712.0
2024-03-21,15.449999809265137,16.200000762939453,15.0,15.75,14018.0
2024-03-22,15.300000190734863,15.75,15.0,15.600000381469728,10613.0
2024-03-25,15.600000381469728,15.600000381469728,15.0,15.449999809265137,7843.0
2024-03-26,15.449999809265137,16.5,15.149999618530272,16.5,4273.0
2024-03-27,15.300000190734863,15.600000381469728,15.0,15.149999618530272,4330.0
2024-03-28,14.399999618530272,15.600000381469728,14.399999618530272,15.300000190734863,8397.0
2024-04-01,14.25,15.0,14.25,14.850000381469728,6276.0
2024-04-02,14.100000381469728,14.550000190734863,13.649999618530272,14.550000190734863,6936.0
2024-04-03,13.050000190734863,13.949999809265137,12.75,13.5,12610.0
2024-04-04,13.5,13.649999618530272,12.75,13.5,18336.0
2024-04-05,11.850000381469728,12.899999618530272,11.399999618530272,12.0,68389.0
2024-04-08,11.399999618530272,12.75,11.25,12.0,19253.0
2024-04-09,11.699999809265137,11.699999809265137,11.25,11.25,16567.0
2024-04-10,9.760000228881836,14.06999969482422,9.34000015258789,12.899999618530272,231970.0
2024-04-11,7.559999942779541,9.640000343322754,7.300000190734863,9.640000343322754,95300.0
2024-04-12,6.710000038146973,7.949999809265137,6.690000057220459,7.650000095367432,76910.0
2024-04-15,5.329999923706055,7.0,5.0,6.900000095367432,149620.0
2024-04-16,6.900000095367432,7.079999923706055,5.53000020980835,5.699999809265137,178830.0
2024-04-17,6.619999885559082,7.25,6.599999904632568,7.25,64050.0
2024-04-18,6.550000190734863,6.690000057220459,6.0,6.690000057220459,43090.0
2024-04-19,6.980000019073486,7.300000190734863,6.309999942779541,6.489999771118164,90030.0
2024-04-22,6.889999866485596,7.989999771118164,6.699999809265137,7.099999904632568,47590.0
2024-04-23,6.670000076293945,6.900000095367432,6.5,6.900000095367432,12140.0
2024-04-24,6.699999809265137,7.0,6.519999980926514,6.53000020980835,29220.0
2024-04-25,6.53000020980835,6.929999828338623,6.519999980926514,6.599999904632568,18790.0
2024-04-26,6.619999885559082,6.900000095367432,6.369999885559082,6.900000095367432,9390.0
2024-04-29,6.260000228881836,6.769999980926514,5.570000171661377,6.610000133514404,32150.0
2024-04-30,6.050000190734863,6.400000095367432,5.840000152587891,6.260000228881836,12050.0
2024-05-01,6.059999942779541,6.300000190734863,5.96999979019165,5.96999979019165,4230.0
2024-05-02,6.440000057220459,6.5,6.010000228881836,6.099999904632568,21640.0
2024-05-03,6.800000190734863,6.940000057220459,6.21999979019165,6.400000095367432,18430.0
2024-05-06,6.730000019073486,7.050000190734863,6.599999904632568,6.900000095367432,17310.0
2024-05-07,6.090000152587891,6.900000095367432,6.0,6.690000057220459,36690.0
